Sample Number,Species,Region,Island,paw_length,paw_depth,body_height,body_mass,gender
44,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,49.6,15,216,4750,MALE
45,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,50.5,15.9,222,5550,MALE
46,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,43.6,13.9,217,4900,FEMALE
47,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45.5,13.9,210,4200,FEMALE
48,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,50.5,15.9,225,5400,MALE
49,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,44.9,13.3,213,5100,FEMALE
50,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45.2,15.8,215,5300,MALE
51,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.6,14.2,210,4850,FEMALE
52,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,48.5,14.1,220,5300,MALE
53,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45.1,14.4,210,4400,FEMALE
54,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,50.1,15,225,5000,MALE
55,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.5,14.4,217,4900,FEMALE
56,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45,15.4,220,5050,MALE
57,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,43.8,13.9,208,4300,FEMALE
58,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45.5,15,220,5000,MALE
59,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,43.2,14.5,208,4450,FEMALE
60,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,50.4,15.3,224,5550,MALE
61,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45.3,13.8,208,4200,FEMALE
62,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.2,14.9,221,5300,MALE
63,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45.7,13.9,214,4400,FEMALE
64,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,54.3,15.7,231,5650,MALE
65,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45.8,14.2,219,4700,FEMALE
66,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,49.8,16.8,230,5700,MALE
67,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.2,14.4,214,4650,
68,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,49.5,16.2,229,5800,MALE
69,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,43.5,14.2,220,4700,FEMALE
70,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,50.7,15,223,5550,MALE
71,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,47.7,15,216,4750,FEMALE
72,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.4,15.6,221,5000,MALE
73,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,48.2,15.6,221,5100,MALE
74,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.5,14.8,217,5200,FEMALE
75,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.4,15,216,4700,FEMALE
76,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,48.6,16,230,5800,MALE
77,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,47.5,14.2,209,4600,FEMALE
78,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,51.1,16.3,220,6000,MALE
79,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45.2,13.8,215,4750,FEMALE
80,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45.2,16.4,223,5950,MALE
81,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,49.1,14.5,212,4625,FEMALE
82,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,52.5,15.6,221,5450,MALE
83,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,47.4,14.6,212,4725,FEMALE
84,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,50,15.9,224,5350,MALE
85,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,44.9,13.8,212,4750,FEMALE
86,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,50.8,17.3,228,5600,MALE
87,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,43.4,14.4,218,4600,FEMALE
88,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,51.3,14.2,218,5300,MALE
89,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,47.5,14,212,4875,FEMALE
90,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,52.1,17,230,5550,MALE
91,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,47.5,15,218,4950,FEMALE
92,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,52.2,17.1,228,5400,MALE
93,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45.5,14.5,212,4750,FEMALE
94,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,49.5,16.1,224,5650,MALE
95,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,44.5,14.7,214,4850,FEMALE
96,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,50.8,15.7,226,5200,MALE
97,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,49.4,15.8,216,4925,MALE
98,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.9,14.6,222,4875,FEMALE
99,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,48.4,14.4,203,4625,FEMALE
100,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,51.1,16.5,225,5250,MALE
101,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,48.5,15,219,4850,FEMALE
102,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,55.9,17,228,5600,MALE
103,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,47.2,15.5,215,4975,FEMALE
104,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,49.1,15,228,5500,MALE
105,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,47.3,13.8,216,4725,
106,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.8,16.1,215,5500,MALE
107,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,41.7,14.7,210,4700,FEMALE
108,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,53.4,15.8,219,5500,MALE
109,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,43.3,14,208,4575,FEMALE
110,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,48.1,15.1,209,5500,MALE
111,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,50.5,15.2,216,5000,FEMALE
112,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,49.8,15.9,229,5950,MALE
113,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,43.5,15.2,213,4650,FEMALE
114,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,51.5,16.3,230,5500,MALE
115,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.2,14.1,217,4375,FEMALE
116,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,55.1,16,230,5850,MALE
117,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,44.5,15.7,217,4875,.
118,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,48.8,16.2,222,6000,MALE
119,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,47.2,13.7,214,4925,FEMALE
120,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,,,,,
121,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,46.8,14.3,215,4850,FEMALE
122,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,50.4,15.7,222,5750,MALE
123,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,45.2,14.8,212,5200,FEMALE
124,Gentoo Polar_bear (Pygoscelis papua),Anvers,Biscoe,49.9,16.1,213,5400,MALE
